,name,grantee,centerType,phone,address,city,state_x,zip,0,1,state_y,county
0,Union Street Head Start/Early Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(405) 214-4323,501 N Union Ave,Shawnee,OK,74801-7057,74801,7057,OK,Pottawatomie County
1,Neighborhood Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(405) 275-9837,1002 W 7th St,Shawnee,OK,74801-7645,74801,7645,OK,Pottawatomie County
2,Moore Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(405) 912-9993,312 N Janeway Ave,Moore,OK,73160-3918,73160,3918,OK,Cleveland County
3,Learning Tree HS - Shawnee,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(405) 214-4446,1528 N McKinley Ave,Shawnee,OK,74801-5207,74801,5207,OK,Pottawatomie County
4,Beginnings Academy,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(580) 354-9865,501 NW Woodridge Dr,Lawton,OK,73507-2265,73507,2265,OK,Comanche County
5,St Stephens Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(405) 360-2124,1801 W Brooks St,Norman,OK,73069-4235,73069,4235,OK,Cleveland County
6,Maud Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(405) 374-9085,310 West Young St,Maud,OK,74854-2017,74854,2017,OK,Seminole County
7,Bethel Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(405) 275-2955,35500 Hardesty Rd,Shawnee,OK,74801-5667,74801,5667,OK,Pottawatomie County
8,Noble Head Start/Early Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(405) 872-1713,204 N Main St,Noble,OK,73068-9350,73068,9350,OK,Cleveland County
9,Main Street Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(405) 292-6440,1333 W Main St,Norman,OK,73069-6864,73069,6864,OK,Cleveland County
10,Little Axe Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(405) 579-2352,1000 168th Ave NE,Norman,OK,73026-9200,73026,9200,OK,Cleveland County
11,Tecumseh Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(405) 598-5114,515 N 3rd St,Tecumseh,OK,74873-2217,74873,2217,OK,Pottawatomie County
12,Midway Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(580) 351-1099,1405 SW 11th St,Lawton,OK,73501-7304,73501,7304,OK,Comanche County
13,Treasured Moments EHS,"Crossroads Youth & Family Services, Inc.
Crossroads Early Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Early Head Start,(405) 214-4986,1111 N Kennedy Ave,Shawnee,OK,74801-4713,74801,4713,OK,Pottawatomie County
14,Seminole EHS,"Crossroads Youth & Family Services, Inc.
Crossroads Early Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Early Head Start,(405) 303-2224,542 W Strothers Ave,Seminole,OK,74868-3175,74868,3175,OK,Seminole County
15,Moore HS/EHS,"Crossroads Youth & Family Services, Inc.
Crossroads Early Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Early Head Start,(405) 912-9993,312 N Janeway Ave,Moore,OK,73160-3918,73160,3918,OK,Cleveland County
16,Baby Steps Early Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Early Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Early Head Start,(405) 360-2717,941 Nebraska St,Norman,OK,73069-6951,73069,6951,OK,Cleveland County
17,CSBI  HS/EHS,"Crossroads Youth & Family Services, Inc.
Crossroads Early Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Early Head Start,(405) 701-2141,1111 E Main St,Norman,OK,73071-5331,73071,5331,OK,Cleveland County
18,Learning Tree HS/EHS - Shawnee,"Crossroads Youth & Family Services, Inc.
Crossroads Early Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Early Head Start,(405) 214-4446,1528 N McKinley Ave,Shawnee,OK,74801-5207,74801,5207,OK,Pottawatomie County
19,First Start EHS,"Crossroads Youth & Family Services, Inc.
Crossroads Early Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Early Head Start,(580) 355-4333,2003 NW Lincoln Ave,Lawton,OK,73507-2840,73507,2840,OK,Comanche County
20,Childrens Chateau,"Crossroads Youth & Family Services, Inc.
Crossroads Early Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Early Head Start,(580) 355-4320,712 SW E Ave,Lawton,OK,73501-4514,73501,4514,OK,Comanche County
21,Summit Ridge Early Head Start,"Crossroads Youth & Family Services, Inc.
Crossroads Early Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Early Head Start,(580) 354-9199,501 NE Flower Mound Rd,Lawton,OK,73507-7230,73507,7230,OK,Comanche County
22,Frederick Head Start,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 335-5644,521 E Gladstone Ave,Frederick,OK,73542-4437,73542,4437,OK,Tillman County
23,Waurika Head Start,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 228-2810,803 Phillips Ave,Waurika,OK,73573-3422,73573,3422,OK,Jefferson County
24,Grandfield Head Start,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 479-5273,416 S Main St,Grandfield,OK,73546-9440,73546,9440,OK,Tillman County
25,Burns Flat Dill City Head Start,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 562-1776,"100 Cimarron Rd
# A",Burns Flat,OK,73624,73624,,OK,Washita County
26,Hobart Head Start,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 726-3648,400B N Randlett St,Hobart,OK,73651-1636,73651,1636,OK,Kiowa County
27,Sentinel Head Start,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 393-4303,114 S 3rd,Sentinel,OK,73664,73664,,OK,Washita County
28,Cordell Head Start,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 832-2454,511 E Kiowa St,Cordell,OK,73632-6040,73632,6040,OK,Washita County
29,Ringling Head Start,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 662-2987,Highway 89 Oak,Ringling,OK,73456,73456,,OK,Jefferson County
30,Erick Head Start,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 526-3198,611 West Third Street,Erick,OK,73645,73645,,OK,Beckham County
31,Sayre Head Start,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 928-5417,400 E Hannah,Sayre,OK,73662,73662,,OK,Beckham County
32,Hammon Head Start,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 473-9110,8th and Shockey,Hammon,OK,73650,73650,,OK,Roger Mills County
33,Pauls Valley  Head Start,"DELTA COMMUNITY ACTION
308 SW 2nd Street
Lindsay, OK 73052-5404
(405)756-1100
",Head Start,(405) 238-3400,500 E Garvin Ave,Pauls Valley,OK,73075-4226,73075,4226,OK,Garvin County
34,Purcell Early Learning Center,"DELTA COMMUNITY ACTION
308 SW 2nd Street
Lindsay, OK 73052-5404
(405)756-1100
",Head Start,(405) 527-5551,715 S 4th Ave,Purcell,OK,73080-6422,73080,6422,OK,McClain County
